"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt5","gpt-5.5",3,"batch5",19,62.9609999999957,0.00901749459688737,0.00913911416094822,0.0178571428571429,5.62267725710299e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",19,66.7099999999991,0.0153410272405906,0.0281659388646288,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",19,98.2589999999982,0.0148991474318985,0.00898315658140986,0.0357142857142857,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",10,"loop",19,85.3450000000012,0.0153410272405906,0.0281659388646288,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",20,80.0360000000001,0.0301154086088584,0.00820336868371803,0.0821428571428571,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",20,41.7239999999947,0.041545031881686,0.0262944479101684,0.0595238095238095,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",20,62.8329999999987,0.0148991474318985,0.00898315658140986,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",20,65.349000000002,0.015359816211633,0.0281659388646288,0.0178571428571429,5.63669131273141e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",20,81.8949999999895,0.0262717589828316,0.00733000623830318,0.0714285714285714,5.66992816201124e-05,0,1,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",20,122.804999999993,0.045867866797374,0.0253587024329382,0.112244897959184,0,0,2,TRUE,FALSE
